user_id,age,gender,state,account_created_at,is_bad_payer,customer_lifetime_value,customer_ticket_medio,total_cancelled_orders,total_returned_orders,total_orders_calculated
66770,12,M,Alabama,2022-12-02 03:57:00+00:00,0,45.5,45.5,0,1,1
63190,12,M,Alabama,2023-09-27 01:12:00+00:00,0,45.5,45.5,0,0,1
58424,12,M,Alabama,2026-01-31 05:58:00+00:00,0,91.0,91.0,1,0,1
76000,12,M,Alaska,2020-09-10 13:17:00+00:00,0,45.5,45.5,0,0,1
37344,12,M,Alaska,2026-01-21 07:27:00+00:00,0,318.5,79.62,0,1,4
52164,12,F,Arizona,2021-11-24 06:15:00+00:00,1,318.5,159.25,1,0,2
30678,12,F,Arizona,2019-11-24 00:32:00+00:00,0,45.5,45.5,1,0,1
32409,12,M,Arizona,2024-06-20 13:25:00+00:00,1,273.0,136.5,1,0,2
92662,12,F,Arizona,2019-04-11 09:11:00+00:00,0,0.0,0.0,0,0,0
3243,12,F,Arizona,2025-09-22 07:53:00+00:00,0,0.0,0.0,0,0,0
31293,12,M,Arizona,2022-04-12 16:27:00+00:00,0,45.5,45.5,0,0,1
78292,12,M,Arizona,2026-06-12 12:52:00+00:00,0,45.5,45.5,0,0,1
18360,12,F,Arizona,2023-08-31 10:19:00+00:00,0,91.0,45.5,0,0,2
26400,12,F,Arkansas,2023-07-10 11:58:00+00:00,0,273.0,91.0,0,1,3
14971,12,F,Arkansas,2021-04-15 00:59:00+00:00,1,182.0,91.0,1,0,2
86018,12,M,California,2021-06-07 04:32:00+00:00,0,0.0,0.0,0,0,0
55799,12,M,California,2022-11-28 08:11:00+00:00,1,136.5,68.25,0,1,2
2196,12,M,California,2026-07-04 05:27:38.822134+00:00,1,273.0,136.5,0,1,2
22857,12,M,California,2022-11-30 13:02:00+00:00,0,45.5,45.5,0,0,1
22704,12,M,California,2023-10-01 05:31:00+00:00,0,0.0,0.0,0,0,0
47809,12,F,California,2024-02-25 10:35:00+00:00,0,45.5,45.5,0,1,1
31419,12,M,California,2025-06-01 04:39:00+00:00,0,91.0,91.0,0,0,1
64313,12,M,California,2023-02-01 14:50:00+00:00,0,45.5,45.5,0,0,1
24361,12,F,California,2025-01-09 08:05:00+00:00,1,182.0,91.0,1,1,2
37881,12,M,California,2025-10-03 10:40:00+00:00,0,45.5,45.5,0,0,1
72347,12,F,California,2020-09-03 07:45:00+00:00,0,45.5,45.5,0,0,1
82380,12,F,California,2021-03-10 18:58:00+00:00,0,136.5,136.5,0,0,1
17705,12,M,California,2026-07-05 12:30:55.995810+00:00,0,0.0,0.0,0,0,0
95019,12,M,California,2026-07-01 03:38:43.234775+00:00,0,0.0,0.0,0,0,0
74996,12,M,California,2024-10-12 17:03:00+00:00,0,45.5,45.5,0,0,1
79590,12,M,California,2021-12-11 16:39:00+00:00,0,0.0,0.0,0,0,0
55393,12,M,California,2020-04-28 16:43:00+00:00,0,91.0,45.5,0,0,2
78305,12,F,California,2025-07-05 14:14:00+00:00,0,45.5,45.5,0,0,1
82746,12,F,California,2026-04-22 00:45:00+00:00,0,0.0,0.0,0,0,0
40381,12,M,California,2024-11-18 00:54:00+00:00,0,45.5,45.5,1,0,1
21753,12,F,California,2024-08-17 03:54:00+00:00,0,91.0,45.5,0,0,2
80860,12,M,California,2021-08-10 04:08:00+00:00,0,91.0,45.5,0,0,2
32966,12,M,California,2023-04-10 02:08:00+00:00,0,136.5,68.25,0,0,2
21758,12,M,California,2021-05-20 17:14:00+00:00,0,45.5,45.5,1,0,1
25219,12,M,California,2022-09-25 11:41:00+00:00,0,91.0,91.0,0,0,1
53814,12,F,California,2021-08-02 13:15:00+00:00,0,0.0,0.0,0,0,0
99070,12,F,California,2023-01-09 07:21:00+00:00,0,0.0,0.0,0,0,0
49937,12,M,California,2019-09-27 04:56:00+00:00,0,182.0,60.67,0,0,3
33276,12,M,California,2020-01-16 12:46:00+00:00,0,45.5,45.5,0,0,1
80010,12,F,California,2023-04-20 03:25:00+00:00,0,182.0,182.0,0,0,1
55802,12,F,California,2022-05-20 10:28:00+00:00,0,91.0,91.0,0,1,1
86462,12,M,California,2019-04-15 15:47:00+00:00,0,0.0,0.0,0,0,0
80189,12,F,California,2019-08-30 09:21:00+00:00,0,182.0,91.0,0,0,2
18020,12,M,California,2022-07-11 01:57:00+00:00,0,182.0,91.0,0,0,2
44657,12,M,California,2019-06-05 01:53:00+00:00,0,45.5,45.5,0,1,1
15950,12,F,California,2025-12-02 04:54:00+00:00,0,273.0,68.25,0,1,4
42560,12,M,California,2023-10-27 05:31:00+00:00,0,91.0,91.0,0,0,1
85438,12,F,California,2022-10-16 11:42:00+00:00,0,0.0,0.0,0,0,0
2501,12,M,California,2022-12-15 15:01:00+00:00,0,45.5,45.5,1,0,1
65193,12,F,California,2020-08-01 00:04:00+00:00,0,45.5,45.5,0,0,1
77507,12,M,California,2020-06-24 15:23:00+00:00,0,45.5,45.5,0,0,1
160,12,F,California,2023-04-09 18:12:00+00:00,0,45.5,45.5,0,0,1
8133,12,M,California,2020-02-18 13:48:00+00:00,1,318.5,106.17,2,0,3
48350,12,F,California,2020-09-09 14:35:00+00:00,0,91.0,91.0,1,0,1
44935,12,M,California,2020-04-08 15:49:00+00:00,0,91.0,45.5,0,0,2
115,12,F,California,2023-04-11 08:38:00+00:00,0,182.0,91.0,0,0,2
16979,12,F,California,2021-03-04 12:42:00+00:00,0,91.0,45.5,0,0,2
79139,12,M,California,2024-09-13 03:19:00+00:00,0,0.0,0.0,0,0,0
70611,12,M,California,2020-03-14 00:03:00+00:00,1,136.5,68.25,0,1,2
55032,12,M,California,2025-02-13 13:57:00+00:00,0,45.5,45.5,0,0,1
17650,12,M,California,2021-12-11 15:35:00+00:00,0,45.5,45.5,1,0,1
56378,12,F,California,2020-09-30 07:53:00+00:00,0,45.5,45.5,0,0,1
39421,12,M,California,2019-06-04 11:45:00+00:00,0,91.0,91.0,0,0,1
81698,12,F,California,2019-09-30 11:56:00+00:00,0,45.5,45.5,0,1,1
56051,12,M,California,2021-03-07 06:07:00+00:00,0,136.5,136.5,1,0,1
46014,12,F,California,2022-05-08 03:44:00+00:00,0,0.0,0.0,0,0,0
36849,12,M,California,2025-05-12 13:17:00+00:00,0,91.0,91.0,0,1,1
71273,12,M,California,2021-11-06 10:31:00+00:00,0,45.5,45.5,0,1,1
44309,12,F,California,2025-02-09 13:54:00+00:00,0,91.0,91.0,0,0,1
38956,12,M,California,2023-01-20 07:28:00+00:00,0,45.5,45.5,0,0,1
14732,12,M,California,2020-03-24 01:19:00+00:00,0,91.0,91.0,0,0,1
83396,12,F,California,2024-05-09 15:56:00+00:00,0,91.0,45.5,0,0,2
52530,12,F,California,2019-05-14 11:48:00+00:00,0,45.5,45.5,0,0,1
97860,12,M,California,2026-03-04 03:15:00+00:00,0,0.0,0.0,0,0,0
62994,12,M,California,2022-01-27 00:33:00+00:00,0,91.0,45.5,0,0,2
98656,12,M,California,2021-12-26 17:52:00+00:00,0,136.5,68.25,0,0,2
88891,12,F,California,2024-07-10 06:43:00+00:00,0,136.5,68.25,0,0,2
27298,12,M,California,2020-10-11 02:51:00+00:00,1,136.5,68.25,1,0,2
54196,12,F,California,2025-09-19 07:25:00+00:00,0,45.5,45.5,0,1,1
62787,12,M,California,2023-08-31 08:34:00+00:00,0,0.0,0.0,0,0,0
30647,12,F,California,2022-06-13 06:24:00+00:00,1,91.0,45.5,0,1,2
24262,12,F,California,2019-05-28 14:01:00+00:00,0,45.5,45.5,0,0,1
32853,12,F,California,2026-07-01 12:44:11.140110+00:00,0,45.5,45.5,0,0,1
82693,12,F,California,2023-02-20 18:50:00+00:00,0,0.0,0.0,0,0,0
22895,12,M,California,2020-10-25 12:45:00+00:00,1,136.5,45.5,2,0,3
27278,12,M,California,2025-09-27 17:47:00+00:00,0,227.5,113.75,0,0,2
84983,12,F,California,2019-05-04 11:14:00+00:00,0,0.0,0.0,0,0,0
29928,12,M,California,2025-11-14 16:57:00+00:00,0,136.5,68.25,0,0,2
